DfENum,EUCLID School Code,EUCLID National Centre Number,School Name,School type,Average wider points score for pupils aged 17 2014,Z score 2014,Average wider points score for pupils aged 17 2015,Z score 2015,Average wider points score for pupis aged 17 2016,Z Score 2016,Average wider points score for pupils aged 17 2017,Average Z score 2014-2016,Above or Below Average,Notes,Change check 2014-15,Change check 2015-16
6675502,19611,68251,Ysgol Bro Teifi,Comprehensive School,,,,,,,780.3,,,,,
6644021,15281,68122  ,Flint High School,Comprehensive School,,,,,,,619.9,,,,,
