School Code,DfE Number,National Centre Number,DENINO,School Type,School name,Average point score 2014,Z Score 2014,Average point score 2015,Z Score 2015,Average Point score 2016,Z Score 2016,Average Z Score 2014-2016,Above or Below Average,Notes
16450,1260269,71442,1260269,,Hazelwood College                               ,477.9310345,-1.06767496,481.1,-1.022399763,504.86,-0.968736264,-1.019603662,Below Average,
16534,5230135,71785,5230135,,St Mark's High School                           ,499.8,-0.955893481,450,-1.193030342,518.84,-0.884084336,-1.01100272,Below Average,
16564,3230132,71355,3230132,,St Colm's High School                           ,583.6764706,-0.52716557,549.95,-0.644653288,617.81,-0.284799545,-0.485539468,Below Average,
16612,3210200,71439,3210200,,Monkstown Community School                      ,637.8947368,-0.250033212,523.93,-0.787412377,No Data,No Data,-0.518722795,Below Average,Not in UCAS school list
16673,4210046,71587,4210046,,Glastry College                                 ,420.872093,-1.359327203,468.28,-1.092736869,476.73,-1.139069508,-1.197044527,Below Average,
16683,3230110,71349,3230110,,St Joseph's College                             ,464.4230769,-1.136719811,483.31,-1.010274567,546.56,-0.71623373,-0.95440937,Below Average,
16685,3210172,71351,3210172,,Cullybackey High School                         ,552,-0.689077331,578.41,-0.488507105,568.79,-0.581626265,-0.586403567,Below Average,
16686,3210208,71319,3210208,,Dunclug College                                 ,563.4375,-0.630615459,645.63,-0.119703648,623.35,-0.251253645,-0.333857584,Below Average,
16687,3230203,71427,3230203,,Edmund Rice College                             ,427.5,-1.325449184,500.38,-0.916619777,591.38,-0.444838921,-0.89563596,Below Average,
16694,5210231,71643,5210231,,Drumglass High School                           ,300,-1.977155297,588.75,-0.431776552,No Data,No Data,-1.204465925,Below Average,
16699,2230100,71937,2230100,,St Joseph's College                             ,449.1176471,-1.214952299,420.54,-1.354663038,609.64,-0.334270665,-0.967962001,Below Average,
16701,1210015,71204,1210015,,Ashfield Boys' High School                      ,586.0909091,-0.51482436,556.07,-0.611075823,539.25,-0.760497364,-0.628799182,Below Average,
16723,5210121,71601,5210121,,City Armagh High School                         ,726.4285714,0.202500445,675,0.041435263,618.75,-0.279107642,-0.011723978,Below Average,
16770,1230275,71273,1230275,,St Joseph's College                             ,554.2916667,-0.677363659,520.34,-0.807108961,454.46,-1.273919182,-0.919463934,Below Average,
16771,2230077,71829,2230077,,St Mary's Limavady                              ,625.1086957,-0.315388045,617.93,-0.27168008,652.32,-0.075834019,-0.220967382,Below Average,
16845,2230180,71979,2230180,,St Eugene's College                             ,457.5,-1.172106569,256.88,-2.252585886,551.25,-0.687834764,-1.370842406,Below Average,
16846,5230293,71655,5230293,,St Patrick's College                            ,500.3571429,-0.95304569,511.75,-0.854238115,537.77,-0.769459085,-0.858914296,Below Average,
16882,2230298,71973,2230298,,Sacred Heart College                            ,535.869863,-0.771525244,482.79,-1.013127554,465.22,-1.208765051,-0.99780595,Below Average,
16924,4230161,71505,4230161,,St Colman's High School                         ,551.1818182,-0.693259402,583.09,-0.46283022,458.75,-1.247942303,-0.801343975,Below Average,
16940,5230076,71713,5230076,,St Patrick's College                            ,573.75,-0.577903935,No Data,No Data,711,0.279486093,-0.149208921,Below Average,
16945,2230099,71934,2230099,,St Fanchea's College                            ,495.9375,-0.975636343,646.5,-0.114930381,622.5,-0.256400579,-0.448989101,Below Average,
16957,3210038,71433,3210038,,Larne High School                               ,642.3214286,-0.22740653,544.85,-0.672634508,660.88,-0.024001365,-0.308014134,Below Average,
16978,4210201,71576,4210201,,Laurelhill Community College                    ,608.3055556,-0.40127596,600.05,-0.369778946,658.56,-0.038049468,-0.269701458,Below Average,
17020,2230138,71904,2230138,,Dean Maguirc College                            ,714.0384615,0.139169383,671.92,0.0245368,667.31,0.014933678,0.05954662,Above Average,
17022,2260276,71843,2260276,,Oakgrove Integrated College                     ,538.5447761,-0.757852638,640.54,-0.147630003,649.53,-0.092728074,-0.332736905,Below Average,
17066,5210047,71705,5210047,,Banbridge High School                           ,551,-0.694188752,503.18,-0.901257538,559.22,-0.639574688,-0.745006993,Below Average,
17070,1420277,71271,1420277,,Aquinas Diocesan Grammar School                 ,1020.660714,1.706444652,884.46,1.190640442,858.05,1.169905699,1.355663598,Above Average,
17077,1240291,71156,1240291,,Colaiste Feirste                                ,828.6486486,0.724990243,738.88,0.391913764,710.56,0.276821797,0.464575268,Above Average,
17078,2210302,71817,2210302,,Limavady High School                            ,450.5853659,-1.207450171,502.98,-0.902354841,532.29,-0.802641672,-0.970815561,Below Average,
17107,2210125,71964,2210125,,Omagh High School                               ,679.2391304,-0.038704631,774.84,0.5892088,657.35,-0.04537628,0.168375963,Above Average,
17134,4260281,71586,4260281,,Shimna Integrated College                       ,877.5,0.974690042,786.06,0.650767485,786.67,0.737684335,0.787713954,Above Average,
17162,2230190,71952,2230190,,St Comhghall's College                          ,619.125,-0.34597323,669.47,0.011094841,682.34,0.105943584,-0.076311602,Below Average,
17174,2260283,71977,2260283,,Drumragh College                                ,582.625,-0.532540078,597.6,-0.383220905,610.07,-0.331666922,-0.415809302,Below Average,
17182,2260280,71921,2260280,,Erne Integrated College                         ,571.875,-0.587487849,380,-1.577086307,441.82,-1.350457121,-1.171677092,Below Average,
17195,2210065,71907,2210065,,Castlederg High School                          ,569.75,-0.598349617,528.75,-0.76096738,537.9,-0.768671907,-0.709329635,Below Average,
17206,5260286,71644,5260286,,Integrated College Dungannon                    ,490.7692308,-1.00205354,389.83,-1.523153877,472.29,-1.16595467,-1.230387362,Below Average,
17215,2230254,71853,2230254,,Immaculate Conception College                   ,640.5,-0.236716617,No Data,No Data,No Data,No Data,-0.236716617,Below Average,Not in UCAS school list
17217,5260285,71711,5260285,,New-Bridge Integrated College                   ,617.7906977,-0.35279341,629.22,-0.209737339,571.97,-0.562370676,-0.374967142,Below Average,
17220,3260289,71318,3260289,,Slemish College                                 ,970,1.447496438,606.46,-0.334610393,696.48,0.191564347,0.434816797,Above Average,
17250,2420287,71887,2420287,,Lumen Christi College                           ,1213.939655,2.694374593,1241.61,3.150148845,1164.66,3.026495671,2.957006369,Above Average,
17251,3410297,71312,3410297,,Cambridge House Grammar School                  ,725.2,0.1962207,738.02,0.387195362,685.8,0.126894634,0.236770232,Above Average,
17265,1260294,Not Known,1260294,,Malone Integrated College                       ,377.1,-1.583064777,306.67,-1.979412364,366.28,-1.807868185,-1.790115109,Below Average,
17287,3260290,71348,3260290,,North Coast Integrated College                  ,432.3333333,-1.300743984,467.5,-1.09701635,515.77,-0.902673851,-1.100144728,Below Average,
17289,4250072,71570,4250072,,Fort Hill College                               ,547.3369565,-0.712912107,514,-0.841893459,483.59,-1.097530722,-0.884112096,Below Average,
17295,4210051,71579,4210051,,Lisnagarvey High School                         ,517,-0.867977049,527,-0.770568779,553.14,-0.676390405,-0.771645411,Below Average,
17296,4230107,71517,4230107,,St Columbanus' College                          ,503.25,-0.938259081,483.33,-1.010164837,528.97,-0.822744991,-0.92372297,Below Average,
17309,3260299,71424,3260299,,Ulidia Integrated College                       ,593.0769231,-0.479115904,626.93,-0.222301456,647.12,-0.107321146,-0.269579502,Below Average,
17310,3230142,71375,3230142,,St Mary's College                               ,555.9375,-0.668951113,614.29,-0.29165099,573.39,-0.553772268,-0.504791457,Below Average,
17311,4260295,71529,4260295,,Strangford Integrated College                   ,538.3783784,-0.758703167,521.02,-0.803378132,523.57,-0.855443161,-0.805841487,Below Average,
17335,5420304,71650,5420304,,"St Patrick's Academy,  Dungannon                     ",733.0287958,0.236236967,732.13,0.354879796,703.51,0.23413252,0.275083094,Above Average,
17343,3210035,71365,3210035,,Magherafelt High School                         ,460.0588235,-1.159027345,577.09,-0.495749303,555.46,-0.662342302,-0.772372984,Below Average,
17352,3230084,71323,3230084,,St Patrick's College                            ,468.3913043,-1.116436532,492.38,-0.960511887,478.96,-1.125566375,-1.067504931,Below Average,
17384,2230144,71809,2230144,,St Patrick's College                            ,747.2222222,0.308785538,677.37,0.0544383,578.65,-0.521921829,-0.05289933,Below Average,
17390,5230167,71717,5230167,,St Joseph's High School                         ,631.8035714,-0.28116772,641.61,-0.141759433,551.05,-0.689045808,-0.370657654,Below Average,
17400,1230146,Not Known,1230146,,Christian Brothers School                       ,436.0227273,-1.281885941,442.7,-1.233081892,461.08,-1.233833648,-1.249600494,Below Average,
17466,3260303,Not Known,3260303,,Sperrin Integrated College                      ,577.3846154,-0.559325888,462.55,-1.124174594,500,-0.998164617,-0.893888366,Below Average,
17629,4230224,71542,4230224,,De La Salle High School,578.4375,-0.553944152,623.28,-0.242327231,488.65,-1.066891326,-0.621054236,Below Average,
17727,3230310,71310,3230310,,ST KILLIAN'S COLLEGE                            ,901.5384615,1.097560727,763.44,0.526662543,768.73,0.629053749,0.75109234,Above Average,
17817,1230130,71159,1230130,,St Rose’s Dominican College,479.5714286,-1.059290216,464.09,-1.115725362,436.67,-1.381641486,-1.185552355,Below Average,
17984,2210306,Not Known,2210306,,Lisneal College                                 ,464.6953125,-1.135328301,361.43,-1.678970869,385.5,-1.691486922,-1.501928697,Below Average,
18910,5210064,71721,5210064,,Dromore High School,724.2857143,0.191547401,605.86,-0.337902301,572.66,-0.558192576,-0.234849159,Below Average,
26500,3210300,71340,3210300,,Coleraine College                               ,452.8125,-1.196066352,418.13,-1.367885536,466.88,-1.198713392,-1.25422176,Below Average,
