DENI Ref,School Name,Points,Year 14 pupils with 1 or more examinaiton entry,Average point score per pupil
4420050,Friends' School,110910,124,894.4354839
4420051,Wallace High School,122632,139,882.2446043
4420086,Assumption Grammar School,88030,99,889.1919192
4420088,St Patrick's Grammar School,89954,108,832.9074074
4420259,Our Lady and St Patrick's College,155250,167,929.6407186
5210016,Kilkeel High School,36828,54,682
5210047,Banbridge High School,22518,45,500.4
5210064,Dromore High School,59972,80,749.65
5210097,Fivemiletown College,15053,23,654.4782609
5210121,City Armagh High School,3243,7,463.2857143
5210186,Newry High School,16397,35,468.4857143
5210230,Cookstown High School,66560,82,811.7073171
5230056,St Joseph's Boys' High School,236,1,236
5230059,St Columban's College,*,*,*
5230076,St Patrick's College,7790,12,649.1666667
5230108,St Mary's High School,29286,46,636.6521739
5230135,St Mark's High School,32012,45,711.3777778
5230152,St Ciaran's High School,45407,76,597.4605263
5230157,St Paul's High School,124966,152,822.1447368
5230167,St Joseph's High School,29274,44,665.3181818
5230187,St Patrick's High School,69285,113,613.1415929
5230213,Lismore Comprehensive School,51895,75,691.9333333
5230218,St Catherine's College,93573,123,760.7560976
5230278,Holy Trinity College,60532,108,560.4814815
5230293,St Patrick's College,21190,43,492.7906977
5260285,New-Bridge Integrated College,32445,49,662.1428571
5260286,Integrated College Dungannon,25194,50,503.88
5410013,Banbridge Academy,169755,184,922.5815217
5410057,Lurgan College,97687,110,888.0636364
5410067,Portadown College,125059,173,722.8843931
5420045,St Louis Grammar School,57898,70,827.1142857
5420059,Abbey Christian Brothers Grammar School,67372,91,740.3516484
5420060,Our Lady's Grammar School,95816,107,895.4766355
5420062,St Colman's College,99915,125,799.32
5420073,St Joseph's Grammar School,72397,91,795.5714286
5420076,Sacred Heart Grammar School,95970,123,780.2439024
5420260,The Royal School Dungannon,90379,81,1115.790123
5420263,The Royal School Armagh,78720,94,837.4468085
5420268,St Patrick's Grammar School,71895,96,748.90625
5420304,St Patrick's Academy,113782,164,693.7926829
5420314,St Ronan's College,84732,138,614
