LA Code,Estab Code,Estab Name,Average wider points score for pupils aged 17,,,,,,,
673,5400,Stanwell School,943.4,,,,,,,
673,5500,Ysgol Gymraeg Bro Morgannwg,775.3,,,,,,,
673,7024,Ysgol Y Deri,28.3,,,,,,,
674,4019,Bryncelynnog Comprehensive School,787.5,,,,,,,
674,4022,The Pontypridd High School,820.9,,,,,,,
674,4027,Hawthorn High School,739.9,,,,,,,
674,4053,Mountain Ash Comprehensive School,514.2,,,,,,,
674,4054,Ysgol Gyfun Garth Olwg,789.1,,,,,,,
674,4057,Tonyrefail School,697.6,,,,,,,
674,4081,Treorchy Comprehensive School,719.1,,,,,,,
674,4083,Ferndale Community School,714.1,,,,,,,
674,4087,Porth County Community,507.1,,,,,,,
674,4095,Tonypandy Community College,637.7,,,,,,,
674,4096,Y Pant Comprehensive,811.7,,,,,,,
674,4097,Ysgol Gyfun Cymer Rhondda,596.7,,,,,,,
674,4105,Ysgol Gyfun Rhydywaun,707.8,,,,,,,
674,4106,Aberdare Community School,649.4,,,,,,,
674,4602,Cardinal Newman R.C.,774.8,,,,,,,
674,4604,St.John Baptist High School,696.3,,,,,,,
674,5500,Ysgol Llanhari,833.4,,,,,,,
674,7006,Maesgwyn,63.3,,,,,,,
674,7008,Park Lane Special School,1.7,,,,,,,
674,7011,Ysgol Hen Felin,2.1,,,,,,,
674,7015,Ysgol Ty Coch,11.1,,,,,,,
675,7013,Greenfield School,32.3,,,,,,,
676,4065,St Cenydd School,826.0,,,,,,,
676,4070,St Martin's School,602.1,,,,,,,
676,4073,Heolddu Comprehensive School,716.8,,,,,,,
676,4075,Lewis School Pengam,671.3,,,,,,,
676,4077,Lewis Girls' Comprehensive School,781.2,,,,,,,
676,4090,"Rhymney Comprehensive School,",717.5,,,,,,,
676,4093,Bedwas High School,583.4,,,,,,,
676,4103,Ysgol Gyfun Cwm Rhymni,783.8,,,,,,,
676,5400,Cwmcarn High School,839.3,,,,,,,
676,7011,Trinity Fields School,1.0,,,,,,,
677,7011,Pen-y-cwm Special School,0.0,,,,,,,
678,4051,Croesyceiliog School,726.9,,,,,,,
678,4075,Ysgol Gyfun Gwynllyw,700.0,,,,,,,
678,4076,Cwmbran High School,618.3,,,,,,,
678,4603,St. Albans R.C. High School,639.6,,,,,,,
678,7012,Crownbridge Special School,4.8,,,,,,,
679,4060,Monmouth Comprehensive School,781.2,,,,,,,
679,4064,King Henry Viii Comprehensive,764.1,,,,,,,
679,4065,Chepstow Comprehensive School,721.0,,,,,,,
679,4066,Caldicot School,793.3,,,,,,,
680,4003,St Julian's School,633.2,,,,,,,
680,4020,The John Frost School,670.2,,,,,,,
680,4021,Llanwern High School,546.5,,,,,,,
680,4025,Newport High School,676.2,,,,,,,
680,4026,Lliswerry High School,721.5,,,,,,,
680,4030,Bassaleg School,818.6,,,,,,,
680,4059,Caerleon Comprehensive School,907.2,,,,,,,
680,4602,St. Joseph's R.C. High School,925.1,,,,,,,
680,7002,Maes Ebbw School,6.3,,,,,,,
681,4039,Cardiff High School,932.9,,,,,,,
681,4042,Fitzalan High School,621.9,,,,,,,
681,4049,Cantonian High School,584.4,,,,,,,
681,4051,Llanishen High School,746.7,,,,,,,
681,4054,Cathays High School,333.9,,,,,,,
681,4070,Radyr Comprehensive School,968.9,,,,,,,
681,4071,Ysgol Gyfun Gymraeg Glantaf,764.5,,,,,,,
681,4072,Ysgol Gyfun Gymraeg Plasmawr,832.5,,,,,,,
681,4073,Michaelston Community College,557.8,,,,,,,
681,4608,Bishop Of Llandaff Church In Wales High School,921.9,,,,,,,
681,4609,St Teilo's C-In-W High School,760.4,,,,,,,
681,5403,Whitchurch High School,805.1,,,,,,,
681,7006,Woodlands High School,0.6,,,,,,,
681,7011,Ty-Gwyn Special School,0.0,,,,,,,
,,,,,,,,,,
