EUCLID DfE Number,EUCLID School Code,match on school code,school code same in both sheets,EUCLID National Centre Number,School Name,School type,Average wider points score for pupils aged 17 2014,Z score 2014,Average wider points score for pupils aged 17 2015,Z score 2015,Average wider points score for pupils aged 17 2016,Z Score 2016,Average Z score 2014-2016,Above or Below Average,Notes,Change check 2014-15,Change check 2015-16,Upload check,Upload double check
6724071,10767,10767,TRUE,68545,Maesteg School,Comprehensive School,914.4,0.56,910.4,0.58,996.38,1.12,0.75,Above Average,,OK,OK,Above Average,TRUE
6724076,15505,15505,TRUE,68558,Pencoed Comprehensive School,Comprehensive School,898.9,0.46,827.1,0.03,792.55,-0.36,0.04,Above Average,,OK,OK,Above Average,TRUE
6724078,15240,15240,TRUE,68520,Brynteg School,Comprehensive School,755.7,-0.47,679.2,-0.96,716.36,-0.91,-0.78,Below Average,,OK,OK,Below Average,TRUE
6724080,14773,14773,TRUE,68576,Porthcawl Comprehensive School,Comprehensive School,743.6,-0.55,754.4,-0.46,771.15,-0.51,-0.51,Below Average,,OK,OK,Below Average,TRUE
6724086,17834,17834,TRUE,68582,Coleg Cymunedol Y Dderwen,Comprehensive School,840,0.08,722.9,-0.67,901.75,0.43,-0.05,Below Average,,OK,Big Change,Below Average,TRUE
6724601,10762,10762,TRUE,68581,Archbishop Mcgrath Catholic School,Comprehensive School,DC,DC,850.5,0.18,934.24,0.67,0.42,Above Average,,No Data,OK,Above Average,TRUE
6734060,14469,14469,TRUE,68775,Llantwit Major School,Comprehensive School,899.9,0.47,915.5,0.62,906.08,0.46,0.52,Above Average,,OK,OK,Above Average,TRUE
6734065,10791,10791,TRUE,68765,Cowbridge Comprehensive School,Comprehensive School,1021.6,1.26,925.2,0.68,891.97,0.36,0.77,Above Average,,OK,OK,Above Average,TRUE
6735500,16553,16553,TRUE,68711,Ysgol Gyfun Bro Morgannwg,Comprehensive School,1035.4,1.35,864.6,0.28,946.96,0.76,0.79,Above Average,,Big Change,OK,Above Average,TRUE
6734067,10806,10806,TRUE,68783,St Cyres School,Comprehensive School,1011.3,1.19,995.3,1.15,981.09,1.01,1.12,Above Average,,OK,OK,Above Average,TRUE
6734999,10759,#N/A,#N/A,Not Known,Barry Sixth Form,Comprehensive School,718,-0.72,655.1,-1.13,766.22,-0.55,-0.8,Below Average,,OK,OK,Missing,FALSE
6735400,10807,10807,TRUE,68784,Stanwell School,Comprehensive School,1111.6,1.84,1150.1,2.19,1061.33,1.59,1.87,Above Average,,OK,OK,Above Average,TRUE
6744019,14200,14200,TRUE,68516,Bryncelynnog Comprehensive School,Comprehensive School,663.9,-1.07,670.2,-1.02,823.79,-0.13,-0.74,Below Average,,OK,OK,Below Average,TRUE
6744022,10813,10813,TRUE,68566,Pontypridd High School,Comprehensive School,820.1,-0.05,856.8,0.22,928.38,0.62,0.27,Above Average,,OK,OK,Above Average,TRUE
6744027,10814,10814,TRUE,68567,Hawthorn High School,Comprehensive School,758.5,-0.45,772.7,-0.34,772.34,-0.5,-0.43,Below Average,,OK,OK,Below Average,TRUE
6744053,10800,10800,TRUE,68555,Mountain Ash Comprehensive School,Comprehensive School,613.8,-1.39,455.9,-2.46,521.89,-2.31,-2.06,Below Average,,Big Change,OK,Below Average,TRUE
6744054,10815,10815,TRUE,68569,Ysgol Gyfun Garth Olwg,Comprehensive School,868.9,0.26,842.8,0.13,718.64,-0.89,-0.17,Below Average,,OK,Big Change,Below Average,TRUE
6744057,10849,10849,TRUE,68584,Tonyrefail Comprehensive School,Comprehensive School,919.8,0.6,883.6,0.4,995.21,1.11,0.7,Above Average,,OK,OK,Above Average,TRUE
6744081,10828,10828,TRUE,68589,Treorchy Comprehensive School,Comprehensive School,884.1,0.36,933.5,0.74,951.49,0.79,0.63,Above Average,,OK,OK,Above Average,TRUE
6744083,10825,10825,TRUE,68544,Ferndale Community School,Comprehensive School,670.3,-1.03,618.9,-1.37,599.81,-1.75,-1.38,Below Average,,OK,OK,Below Average,TRUE
6744087,10821,10821,TRUE,68575,Porth County Community School,Comprehensive School,561.3,-1.74,600.2,-1.49,566.58,-1.99,-1.74,Below Average,,OK,OK,Below Average,TRUE
