EUCLID DfE Number,EUCLID School Code,match on school code,school code same in both sheets,EUCLID National Centre Number,School Name,School type,Average wider points score for pupils aged 17 2014,Z score 2014,Average wider points score for pupils aged 17 2015,Z score 2015,Average wider points score for pupils aged 17 2016,Z Score 2016,Average Z score 2014-2016,Above or Below Average,Notes,Change check 2014-15,Change check 2015-16,Upload check,Upload double check
6625400,10361,10361,TRUE,68101,Ysgol Emrys Ap Iwan,Comprehensive School,763.4,-0.42,797.5,-0.17,853.69,0.08,-0.17,Below Average,,OK,OK,Below Average,TRUE
6625402,10362,10362,TRUE,68106,Eirias High School,Comprehensive School,848.8,0.13,835.4,0.08,912.57,0.51,0.24,Above Average,,OK,OK,Above Average,TRUE
6625403,15568,15568,TRUE,68105,Ysgol Bryn Elian,Comprehensive School,981.7,1,893.5,0.47,882.29,0.29,0.59,Above Average,,OK,OK,Above Average,TRUE
6634014,10750,10750,TRUE,68148,Prestatyn High School,Comprehensive School,620.3,-1.35,549.5,-1.83,582.24,-1.88,-1.69,Below Average,,OK,OK,Below Average,TRUE
6634020,10753,10753,TRUE,68171,Ysgol Uwchradd Glan Clwyd,Comprehensive School,937.7,0.71,925.1,0.68,878.45,0.26,0.55,Above Average,,OK,OK,Above Average,TRUE
6634026,10367,10367,TRUE,68116,Denbigh High School,Comprehensive School,617.7,-1.37,613.6,-1.4,638.41,-1.47,-1.42,Below Average,,OK,OK,Below Average,TRUE
6634027,10370,10370,TRUE,68138,Ysgol Dinas Bran,Comprehensive School,551.7,-1.8,604.5,-1.46,643.34,-1.44,-1.57,Below Average,,OK,OK,Below Average,TRUE
6634031,10373,10373,TRUE,68165,Ysgol Brynhyfryd,Comprehensive School,890.5,0.4,884.1,0.41,963.07,0.88,0.56,Above Average,,OK,OK,Above Average,TRUE
6635901,10664,10664,TRUE,68115,St Brigid's School,Comprehensive School,668.1,-1.04,725.6,-0.65,720.24,-0.88,-0.86,Below Average,,OK,OK,Below Average,TRUE
6644000,15562,15562,TRUE,68127,Hawarden High School,Comprehensive School,857.9,0.19,818.9,-0.03,768.41,-0.53,-0.12,Below Average,,OK,OK,Below Average,TRUE
6644006,10748,10748,TRUE,68140,Alun School,Comprehensive School,692.4,-0.88,715.8,-0.72,718.13,-0.9,-0.83,Below Average,,OK,OK,Below Average,TRUE
6644011,15271,15271,TRUE,68103,Elfed High School,Comprehensive School,606.2,-1.44,640.8,-1.22,No Data,No Data,-1.33,Below Average,"No data for 2016, website says is studies A Levels",OK,No Data,Below Average,TRUE
6644012,10745,10745,TRUE,68129,Holywell High School,Comprehensive School,593.1,-1.53,489.3,-2.24,673.52,-1.22,-1.66,Below Average,,OK,Big Change,Below Average,TRUE
6644017,14538,14538,TRUE,68135,Castell Alun High School,Comprehensive School,925.1,0.63,853.5,0.2,906.36,0.47,0.43,Above Average,,OK,OK,Above Average,TRUE
6644018,10749,10749,TRUE,68143,Ysgol Maes Garmon,Comprehensive School,945,0.76,865.4,0.28,848,0.04,0.36,Above Average,,OK,OK,Above Average,TRUE
6644600,10744,10744,TRUE,68123,St Richard Gwyn Catholic High School,Comprehensive School,878.5,0.33,901.2,0.52,845.83,0.03,0.29,Above Average,,OK,OK,Above Average,TRUE
6644999,19302,#N/A,#N/A,Not Known,The Deeside Consortium,Comprehensive School,655.5,-1.12,723.4,-0.67,759.45,-0.6,-0.8,Below Average,,OK,OK,#N/A,#N/A
6654032,10382,10382,TRUE,68184,Ysgol Morgan Llwyd,Comprehensive School,859,0.2,782.5,-0.27,890.13,0.35,0.09,Above Average,,OK,OK,Above Average,TRUE
6654044,10372,10372,TRUE,68163,Ysgol Rhiwabon,Comprehensive School,617.1,-1.37,794.1,-0.2,747.38,-0.68,-0.75,Below Average,,Big Change,OK,Below Average,TRUE
6655401,10380,10380,TRUE,68146,The Maelor School,Comprehensive School,981.2,1,894.3,0.48,923.52,0.59,0.69,Above Average,,OK,OK,Above Average,TRUE
6664000,12329,12329,TRUE,68640,Caereinion High School,Comprehensive School,947.6,0.78,974.2,1.01,911.48,0.5,0.76,Above Average,,OK,OK,Above Average,TRUE
6664001,12323,12323,TRUE,68643,Llanfyllin High School,Comprehensive School,998.6,1.11,738.2,-0.57,724,-0.85,-0.1,Below Average,,Big Change,OK,Below Average,TRUE
6664002,12324,12324,TRUE,68646,Llanidloes High School,Comprehensive School,813.8,-0.09,890.6,0.45,708.34,-0.97,-0.2,Below Average,,OK,Big Change,Below Average,TRUE
6664011,12327,12327,TRUE,68656,Newtown High School,Comprehensive School,1031,1.32,1050.2,1.52,960.22,0.85,1.23,Above Average,,OK,OK,Above Average,TRUE
6664013,12330,12330,TRUE,68677,Welshpool High School,Comprehensive School,718.3,-0.71,735,-0.59,719.54,-0.89,-0.73,Below Average,,OK,OK,Below Average,TRUE
6664019,12555,12555,TRUE,68635,Llandrindod High School,Comprehensive School,927.3,0.64,962.8,0.93,914.17,0.52,0.7,Above Average,,OK,OK,Above Average,TRUE
6664020,10106,10106,TRUE,68615,Builth Wells High School,Comprehensive School,953.4,0.81,832.3,0.06,890.78,0.35,0.41,Above Average,,OK,OK,Above Average,TRUE
6664021,10848,10848,TRUE,68685,Ysgol Maes-y-Dderwen,Comprehensive School,1000.3,1.12,1018.5,1.31,841.57,0,0.81,Above Average,,OK,Big Change,Above Average,TRUE
6664022,15056,15056,TRUE,68607,Brecon High School,Comprehensive School,997.8,1.1,984.5,1.08,914.18,0.52,0.9,Above Average,,OK,OK,Above Average,TRUE
6664023,15764,15764,TRUE,68667,Gwernyfed High School,Comprehensive School,921.1,0.6,996,1.16,998.62,1.13,0.96,Above Average,,OK,OK,Above Average,TRUE
6664024,11415,11415,TRUE,68618,Crickhowell High School,Comprehensive School,968.8,0.91,989.4,1.11,876.38,0.25,0.76,Above Average,,OK,OK,Above Average,TRUE
6666000,10102,10102,TRUE,68605,Christ College,Independent School,DC,DC,897.8,0.5,911.38,0.5,0.5,Above Average,"Independent school , not in 2016 data, does do A Levels",No Data,OK,Above Average,TRUE
6674042,10187,10187,TRUE,Not Known,Ysgol Gyfun Aberaeron,Comprehensive School,884.9,0.37,863.7,0.27,731.8,-0.8,-0.05,Below Average,,OK,Big Change,Below Average,TRUE
